"ID,N,9,0","OBJECTID,N,10,0","LSOA_CODE,C,254","LSOA_NAME,C,254","LA_CODE,C,254","LA_NAME,C,254","MSOA_CODE,C,254","MSOA_NAME,C,254","GOR_NAME,C,254","GOR_CODE,C,254","GLOUCEST_1,N,10,0","CFSL,N,9,0,N,10,0","PRIOL,N,9,,N,10,0","L_GL_OSVI_,N,10,0","RankColL,C,254","RankNumL,N,10,0","L_OSVI_Adj,N,10,0","RankColAdj,C,254","RankNumAdj,N,10,0","PRION,N,9,,N,10,0","CFSN,N,9,0,N,10,0","N_GL_OSV_1,N,10,0","RankColN,C,254","RankNumN,N,10,0","N_OSVI_Adj,N,10,0","RankColA_1,C,254","RankNumA_1,N,10,0"
312,22475,E01022413,Stroud 012D,E07000082,Stroud,E02004662,Stroud 012,South West,E12000009,14,2,1,19,Orange,3,13,Yellow,2,1,2,14,Yellow,2,6,Green,1
313,22476,E01022414,Stroud 006E,E07000082,Stroud,E02004656,Stroud 006,South West,E12000009,12,3,2,16,Yellow,2,10,Yellow,2,2,3,12,Green,1,4,Green,1
314,22477,E01022415,Stroud 015B,E07000082,Stroud,E02004665,Stroud 015,South West,E12000009,10,1,1,17,Yellow,2,11,Yellow,2,1,1,10,Green,1,2,Green,1
315,22478,E01022416,Stroud 015C,E07000082,Stroud,E02004665,Stroud 015,South West,E12000009,15,2,2,24,Orange,3,18,Orange,3,2,2,15,Orange,3,7,Yellow,2
316,22479,E01022417,Stroud 015D,E07000082,Stroud,E02004665,Stroud 015,South West,E12000009,15,1,1,15,Yellow,2,9,Yellow,2,1,1,15,Yellow,2,7,Yellow,2
317,22480,E01022418,Stroud 015E,E07000082,Stroud,E02004665,Stroud 015,South West,E12000009,12,2,2,21,Orange,3,15,Orange,3,2,2,12,Green,1,4,Green,1
318,22481,E01022420,Tewkesbury 008A,E07000083,Tewkesbury,E02004673,Tewkesbury 008,South West,E12000009,17,3,2,16,Yellow,2,10,Yellow,2,2,3,17,Orange,3,9,Yellow,2
319,22482,E01022421,Tewkesbury 009A,E07000083,Tewkesbury,E02004674,Tewkesbury 009,South West,E12000009,18,2,2,23,Orange,3,17,Orange,3,2,2,18,Orange,3,10,Yellow,2
320,22483,E01022422,Tewkesbury 009B,E07000083,Tewkesbury,E02004674,Tewkesbury 009,South West,E12000009,14,0,0,13,Green,1,7,Green,1,0,0,14,Yellow,2,6,Green,1
321,22484,E01022423,Tewkesbury 009C,E07000083,Tewkesbury,E02004674,Tewkesbury 009,South West,E12000009,17,2,2,18,Yellow,2,12,Yellow,2,2,2,17,Orange,3,9,Yellow,2
322,22485,E01022424,Tewkesbury 009D,E07000083,Tewkesbury,E02004674,Tewkesbury 009,South West,E12000009,18,2,2,21,Orange,3,15,Orange,3,2,2,18,Orange,3,10,Yellow,2
323,22486,E01022425,Tewkesbury 007A,E07000083,Tewkesbury,E02004672,Tewkesbury 007,South West,E12000009,15,1,0,11,Green,1,5,Green,1,0,1,15,Yellow,2,7,Green,1
324,22487,E01022426,Tewkesbury 007B,E07000083,Tewkesbury,E02004672,Tewkesbury 007,South West,E12000009,16,3,2,16,Yellow,2,10,Yellow,2,2,3,16,Orange,3,8,Yellow,2
325,22488,E01022427,Tewkesbury 007C,E07000083,Tewkesbury,E02004672,Tewkesbury 007,South West,E12000009,14,2,1,23,Orange,3,17,Orange,3,1,2,14,Yellow,2,6,Green,1
326,22489,E01022428,Tewkesbury 007D,E07000083,Tewkesbury,E02004672,Tewkesbury 007,South West,E12000009,14,3,2,20,Orange,3,14,Yellow,2,2,3,14,Yellow,2,6,Green,1
327,22490,E01022429,Tewkesbury 007E,E07000083,Tewkesbury,E02004672,Tewkesbury 007,South West,E12000009,15,2,1,14,Green,1,8,Yellow,2,1,2,15,Yellow,2,7,Yellow,2
328,22491,E01022430,Tewkesbury 007F,E07000083,Tewkesbury,E02004672,Tewkesbury 007,South West,E12000009,14,2,1,20,Orange,3,14,Yellow,2,1,2,14,Yellow,2,6,Green,1
329,22492,E01022431,Tewkesbury 007G,E07000083,Tewkesbury,E02004672,Tewkesbury 007,South West,E12000009,10,2,1,14,Green,1,8,Yellow,2,1,2,10,Green,1,2,Green,1
330,22493,E01022432,Tewkesbury 005A,E07000083,Tewkesbury,E02004670,Tewkesbury 005,South West,E12000009,13,1,1,15,Yellow,2,9,Yellow,2,1,1,13,Yellow,2,5,Green,1
331,22494,E01022433,Tewkesbury 005B,E07000083,Tewkesbury,E02004670,Tewkesbury 005,South West,E12000009,13,0,0,11,Green,1,5,Green,1,0,0,13,Green,1,5,Green,1
332,22495,E01022434,Tewkesbury 004A,E07000083,Tewkesbury,E02004669,Tewkesbury 004,South West,E12000009,18,1,1,21,Orange,3,15,Orange,3,1,1,18,Orange,3,10,Yellow,2
333,22496,E01022435,Tewkesbury 005C,E07000083,Tewkesbury,E02004670,Tewkesbury 005,South West,E12000009,17,2,2,20,Orange,3,14,Yellow,2,2,2,17,Orange,3,9,Yellow,2
334,22497,E01022436,Tewkesbury 005D,E07000083,Tewkesbury,E02004670,Tewkesbury 005,South West,E12000009,14,1,1,17,Yellow,2,11,Yellow,2,1,1,14,Yellow,2,6,Green,1
335,22498,E01022437,Tewkesbury 005E,E07000083,Tewkesbury,E02004670,Tewkesbury 005,South West,E12000009,14,2,2,13,Green,1,7,Green,1,2,2,14,Yellow,2,6,Green,1
336,22499,E01022438,Tewkesbury 005F,E07000083,Tewkesbury,E02004670,Tewkesbury 005,South West,E12000009,13,1,1,14,Green,1,8,Yellow,2,1,1,13,Green,1,5,Green,1
337,22500,E01022439,Tewkesbury 005G,E07000083,Tewkesbury,E02004670,Tewkesbury 005,South West,E12000009,16,1,1,14,Green,1,8,Yellow,2,1,1,16,Orange,3,8,Yellow,2
338,22501,E01022440,Tewkesbury 006A,E07000083,Tewkesbury,E02004671,Tewkesbury 006,South West,E12000009,16,3,1,18,Yellow,2,12,Yellow,2,1,3,16,Orange,3,8,Yellow,2
339,22502,E01022441,Tewkesbury 004B,E07000083,Tewkesbury,E02004669,Tewkesbury 004,South West,E12000009,13,2,0,20,Orange,3,14,Yellow,2,0,2,13,Yellow,2,5,Green,1
340,22503,E01022442,Tewkesbury 006B,E07000083,Tewkesbury,E02004671,Tewkesbury 006,South West,E12000009,15,2,1,14,Green,1,8,Yellow,2,1,2,15,Yellow,2,7,Yellow,2
341,22504,E01022443,Tewkesbury 006C,E07000083,Tewkesbury,E02004671,Tewkesbury 006,South West,E12000009,13,2,1,18,Yellow,2,12,Yellow,2,1,2,13,Yellow,2,5,Green,1
342,22505,E01022444,Tewkesbury 006D,E07000083,Tewkesbury,E02004671,Tewkesbury 006,South West,E12000009,20,2,1,15,Yellow,2,9,Yellow,2,1,2,20,Red,4,12,Yellow,2
343,22506,E01022445,Tewkesbury 004C,E07000083,Tewkesbury,E02004669,Tewkesbury 004,South West,E12000009,14,1,0,16,Yellow,2,10,Yellow,2,0,1,14,Yellow,2,6,Green,1
344,22507,E01022446,Tewkesbury 009E,E07000083,Tewkesbury,E02004674,Tewkesbury 009,South West,E12000009,13,0,0,17,Yellow,2,11,Yellow,2,0,0,13,Yellow,2,5,Green,1
345,22508,E01022447,Tewkesbury 007H,E07000083,Tewkesbury,E02004672,Tewkesbury 007,South West,E12000009,13,2,1,16,Yellow,2,10,Yellow,2,1,2,13,Yellow,2,5,Green,1
346,22509,E01022448,Tewkesbury 008B,E07000083,Tewkesbury,E02004673,Tewkesbury 008,South West,E12000009,20,3,2,16,Yellow,2,10,Yellow,2,2,3,20,Red,4,12,Yellow,2
347,22510,E01022449,Tewkesbury 003A,E07000083,Tewkesbury,E02004668,Tewkesbury 003,South West,E12000009,12,1,1,15,Yellow,2,9,Yellow,2,1,1,12,Green,1,4,Green,1
348,22511,E01022450,Tewkesbury 001B,E07000083,Tewkesbury,E02004666,Tewkesbury 001,South West,E12000009,16,1,1,24,Orange,3,18,Orange,3,1,1,16,Orange,3,8,Yellow,2
349,22512,E01022451,Tewkesbury 001C,E07000083,Tewkesbury,E02004666,Tewkesbury 001,South West,E12000009,21,1,1,12,Green,1,6,Green,1,1,1,21,Red,4,13,Orange,3
350,22513,E01022452,Tewkesbury 001D,E07000083,Tewkesbury,E02004666,Tewkesbury 001,South West,E12000009,18,0,0,13,Green,1,7,Green,1,0,0,18,Orange,3,10,Yellow,2
351,22514,E01022453,Tewkesbury 004D,E07000083,Tewkesbury,E02004669,Tewkesbury 004,South West,E12000009,17,2,2,19,Orange,3,13,Yellow,2,2,2,17,Orange,3,9,Yellow,2
352,22515,E01022454,Tewkesbury 008C,E07000083,Tewkesbury,E02004673,Tewkesbury 008,South West,E12000009,21,2,2,26,Red,4,20,Orange,3,2,2,21,Red,4,13,Orange,3
353,22516,E01022455,Tewkesbury 001E,E07000083,Tewkesbury,E02004666,Tewkesbury 001,South West,E12000009,16,1,1,9,Green,1,3,Green,1,1,1,16,Orange,3,8,Yellow,2
354,22517,E01022456,Tewkesbury 002A,E07000083,Tewkesbury,E02004667,Tewkesbury 002,South West,E12000009,14,2,1,21,Orange,3,15,Orange,3,1,2,14,Yellow,2,6,Green,1
355,22518,E01022457,Tewkesbury 002B,E07000083,Tewkesbury,E02004667,Tewkesbury 002,South West,E12000009,24,3,2,22,Orange,3,16,Orange,3,2,3,24,Red,4,16,Orange,3
356,22519,E01022458,Tewkesbury 002C,E07000083,Tewkesbury,E02004667,Tewkesbury 002,South West,E12000009,25,5,2,23,Orange,3,17,Orange,3,2,5,25,Red,4,17,Orange,3
357,22520,E01022459,Tewkesbury 002D,E07000083,Tewkesbury,E02004667,Tewkesbury 002,South West,E12000009,15,4,2,17,Yellow,2,11,Yellow,2,2,4,15,Yellow,2,7,Yellow,2
358,22521,E01022460,Tewkesbury 002E,E07000083,Tewkesbury,E02004667,Tewkesbury 002,South West,E12000009,14,3,2,22,Orange,3,16,Orange,3,2,3,14,Yellow,2,6,Green,1
359,22522,E01022461,Tewkesbury 002F,E07000083,Tewkesbury,E02004667,Tewkesbury 002,South West,E12000009,24,2,2,16,Yellow,2,10,Yellow,2,2,2,24,Red,4,16,Orange,3
360,22523,E01022462,Tewkesbury 002G,E07000083,Tewkesbury,E02004667,Tewkesbury 002,South West,E12000009,16,1,0,18,Yellow,2,12,Yellow,2,0,1,16,Orange,3,8,Yellow,2
361,22524,E01022463,Tewkesbury 003B,E07000083,Tewkesbury,E02004668,Tewkesbury 003,South West,E12000009,17,0,0,26,Red,4,20,Orange,3,0,0,17,Orange,3,9,Yellow,2
362,22525,E01022464,Tewkesbury 003C,E07000083,Tewkesbury,E02004668,Tewkesbury 003,South West,E12000009,19,1,1,27,Red,4,21,Orange,3,1,1,19,Red,4,11,Yellow,2
363,22526,E01022465,Tewkesbury 003D,E07000083,Tewkesbury,E02004668,Tewkesbury 003,South West,E12000009,16,0,0,17,Yellow,2,11,Yellow,2,0,0,16,Orange,3,8,Yellow,2
364,22527,E01022466,Tewkesbury 003E,E07000083,Tewkesbury,E02004668,Tewkesbury 003,South West,E12000009,20,0,0,18,Yellow,2,12,Yellow,2,0,0,20,Red,4,12,Yellow,2
365,32221,E01032932,Gloucester 004E,E07000081,Gloucester,E02004639,Gloucester 004,South West,E12000009,17,6,2,28,Red,4,22,Orange,3,2,6,17,Orange,3,9,Yellow,2
366,32222,E01032933,Gloucester 015E,E07000081,Gloucester,E02004650,Gloucester 015,South West,E12000009,24,1,1,23,Orange,3,17,Orange,3,1,1,24,Red,4,16,Orange,3
367,32223,E01032934,Gloucester 015F,E07000081,Gloucester,E02004650,Gloucester 015,South West,E12000009,17,2,2,15,Yellow,2,9,Yellow,2,2,2,17,Orange,3,9,Yellow,2
368,32224,E01032935,Gloucester 015G,E07000081,Gloucester,E02004650,Gloucester 015,South West,E12000009,15,1,1,24,Orange,3,18,Orange,3,1,1,15,Orange,3,7,Yellow,2
369,32225,E01032936,Gloucester 015H,E07000081,Gloucester,E02004650,Gloucester 015,South West,E12000009,13,1,1,23,Orange,3,17,Orange,3,1,1,13,Yellow,2,5,Green,1
370,32226,E01032937,Gloucester 004F,E07000081,Gloucester,E02004639,Gloucester 004,South West,E12000009,17,1,1,22,Orange,3,16,Orange,3,1,1,17,Orange,3,9,Yellow,2
371,32227,E01032938,Tewkesbury 001F,E07000083,Tewkesbury,E02004666,Tewkesbury 001,South West,E12000009,12,0,0,15,Yellow,2,9,Yellow,2,0,0,12,Green,1,4,Green,1
372,32228,E01032939,Tewkesbury 001G,E07000083,Tewkesbury,E02004666,Tewkesbury 001,South West,E12000009,13,3,0,19,Orange,3,13,Yellow,2,0,3,13,Yellow,2,5,Green,1
373,32229,E01032940,Tewkesbury 001H,E07000083,Tewkesbury,E02004666,Tewkesbury 001,South West,E12000009,11,1,0,15,Yellow,2,9,Yellow,2,0,1,11,Green,1,3,Green,1
